ts_event,rtype,publisher_id,instrument_id,action,side,price,size,channel_id,order_id,flags,ts_in_delta,sequence,symbol
2025-09-24 19:30:00.000860311+00:00,160,1,432669,A,A,64.83,1,26,8058566314544,128,17528,94225061,CLX5
2025-09-24 19:30:00.001394777+00:00,160,1,432669,C,A,64.83,1,26,8058566314535,128,17697,94225065,CLX5
2025-09-24 19:30:00.061472325+00:00,160,1,432669,C,B,64.79,1,26,8058566226379,128,21053,94225124,CLX5
2025-09-24 19:30:00.061473053+00:00,160,1,432669,C,B,64.8,1,26,8058566253567,128,17668,94225125,CLX5
2025-09-24 19:30:00.093437495+00:00,160,1,432669,C,A,64.83,1,26,8058566314534,128,18699,94225162,CLX5
2025-09-24 19:30:00.093784155+00:00,160,1,432669,A,B,64.82,1,26,8058566314579,128,15148,94225181,CLX5
2025-09-24 19:30:00.125953257+00:00,160,1,432669,C,A,64.86,1,26,8058566175788,128,18262,94225208,CLX5
2025-09-24 19:30:00.398580505+00:00,160,1,432669,C,A,64.83,2,26,8058566314531,128,16291,94225265,CLX5
2025-09-24 19:30:00.398599399+00:00,160,1,432669,C,A,64.83,2,26,8058566314530,128,14788,94225266,CLX5
2025-09-24 19:30:00.399976013+00:00,160,1,432669,C,A,64.83,1,26,8058566314503,128,16415,94225293,CLX5
2025-09-24 19:30:00.400141223+00:00,160,1,432669,T,B,64.83,6,26,8058566314620,0,18442,94225298,CLX5
2025-09-24 19:30:00.400141223+00:00,160,1,432669,F,A,64.83,1,26,8058566308744,0,18442,94225298,CLX5
2025-09-24 19:30:00.400141223+00:00,160,1,432669,F,A,64.83,2,26,8058566308768,0,18442,94225298,CLX5
2025-09-24 19:30:00.400141223+00:00,160,1,432669,F,A,64.83,1,26,8058566311024,0,18442,94225298,CLX5
2025-09-24 19:30:00.400141223+00:00,160,1,432669,F,A,64.83,1,26,8058566313468,0,18442,94225298,CLX5
2025-09-24 19:30:00.400141223+00:00,160,1,432669,F,A,64.83,1,26,8058566314544,0,18442,94225298,CLX5
2025-09-24 19:30:00.400141223+00:00,160,1,432669,C,A,64.83,1,26,8058566308744,0,15030,94225299,CLX5
2025-09-24 19:30:00.400141223+00:00,160,1,432669,C,A,64.83,2,26,8058566308768,0,15030,94225299,CLX5
2025-09-24 19:30:00.400141223+00:00,160,1,432669,C,A,64.83,1,26,8058566311024,0,15030,94225299,CLX5
2025-09-24 19:30:00.400141223+00:00,160,1,432669,C,A,64.83,1,26,8058566313468,0,15030,94225299,CLX5
2025-09-24 19:30:00.400141223+00:00,160,1,432669,C,A,64.83,1,26,8058566314544,128,15030,94225299,CLX5
2025-09-24 19:30:00.400153319+00:00,160,1,432669,A,B,64.83,3,26,8058566314621,128,16510,94225302,CLX5
2025-09-24 19:30:00.400477971+00:00,160,1,432669,A,B,64.82,2,26,8058566314622,128,15238,94225306,CLX5
2025-09-24 19:30:00.400484563+00:00,160,1,432669,A,B,64.82,1,26,8058566314624,128,15142,94225309,CLX5
2025-09-24 19:30:00.400522039+00:00,160,1,432669,C,A,65.05,1,26,8058565884948,128,17488,94225313,CLX5
2025-09-24 19:30:00.400522481+00:00,160,1,432669,C,A,65.03,1,26,8058565958174,128,17488,94225313,CLX5
2025-09-24 19:30:00.400522885+00:00,160,1,432669,C,A,65.02,1,26,8058565971028,128,17488,94225313,CLX5
2025-09-24 19:30:00.400523209+00:00,160,1,432669,C,A,65.01,1,26,8058565978397,128,15461,94225314,CLX5
2025-09-24 19:30:00.400523537+00:00,160,1,432669,C,A,65.0,1,26,8058565986118,128,15461,94225314,CLX5
2025-09-24 19:30:00.400523863+00:00,160,1,432669,C,A,64.99,1,26,8058566056746,128,15461,94225314,CLX5
2025-09-24 19:30:00.400524151+00:00,160,1,432669,C,A,64.98,1,26,8058566058624,128,15461,94225314,CLX5
2025-09-24 19:30:00.400524479+00:00,160,1,432669,C,A,64.94,1,26,8058566099503,128,15461,94225314,CLX5
2025-09-24 19:30:00.400524765+00:00,160,1,432669,C,A,64.93,1,26,8058566106311,128,14820,94225315,CLX5
2025-09-24 19:30:00.400525111+00:00,160,1,432669,C,A,64.92,1,26,8058566107908,128,14663,94225316,CLX5
2025-09-24 19:30:00.400525379+00:00,160,1,432669,C,A,64.91,1,26,8058566108705,128,15033,94225317,CLX5
2025-09-24 19:30:00.400525649+00:00,160,1,432669,C,A,64.89,1,26,8058566173002,128,16997,94225318,CLX5
2025-09-24 19:30:00.400525879+00:00,160,1,432669,C,A,64.88,1,26,8058566173150,128,15056,94225319,CLX5
2025-09-24 19:30:00.400526025+00:00,160,1,432669,C,A,64.86,1,26,8058566175980,128,14702,94225320,CLX5
2025-09-24 19:30:00.400526263+00:00,160,1,432669,C,A,64.85,1,26,8058566273445,128,14936,94225321,CLX5
2025-09-24 19:30:00.400526493+00:00,160,1,432669,C,A,64.84,1,26,8058566274081,128,15684,94225322,CLX5
2025-09-24 19:30:00.400569155+00:00,160,1,432669,A,A,64.84,1,26,8058566314633,128,18331,94225336,CLX5
2025-09-24 19:30:00.400587451+00:00,160,1,432669,A,A,64.84,1,26,8058566314639,128,18642,94225356,CLX5
2025-09-24 19:30:00.400611643+00:00,160,1,432669,A,A,64.84,1,26,8058566314641,128,17860,94225359,CLX5
2025-09-24 19:30:00.400614887+00:00,160,1,432669,M,B,64.82,1,26,8058566311303,128,18451,94225364,CLX5
2025-09-24 19:30:00.400626829+00:00,160,1,432669,C,A,64.85,1,26,8058566313455,128,18766,94225370,CLX5
2025-09-24 19:30:00.400634277+00:00,160,1,432669,A,B,64.82,3,26,8058566314643,128,15218,94225371,CLX5
2025-09-24 19:30:00.400640921+00:00,160,1,432669,C,A,64.85,1,26,8058566313240,128,18171,94225373,CLX5
2025-09-24 19:30:00.400642399+00:00,160,1,432669,C,A,64.85,1,26,8058566311241,128,15215,94225374,CLX5
2025-09-24 19:30:00.400680529+00:00,160,1,432669,A,B,64.83,1,26,8058566314644,128,18845,94225375,CLX5
2025-09-24 19:30:00.400722919+00:00,160,1,432669,A,B,64.83,1,26,8058566314645,128,20600,94225376,CLX5
2025-09-24 19:30:00.400985489+00:00,160,1,432669,M,B,64.82,3,26,8058566311409,128,14400,94225382,CLX5
2025-09-24 19:30:00.401298643+00:00,160,1,432669,A,B,64.8,1,26,8058566314647,128,18131,94225389,CLX5
2025-09-24 19:30:00.401678269+00:00,160,1,432669,C,B,64.78,1,26,8058566287073,128,14898,94225417,CLX5
2025-09-24 19:30:00.403177857+00:00,160,1,432669,M,A,64.85,1,26,8058566173085,128,15075,94225489,CLX5
2025-09-24 19:30:00.404368897+00:00,160,1,432669,C,A,64.84,1,26,8058566314641,128,15342,94225543,CLX5
2025-09-24 19:30:00.404766703+00:00,160,1,432669,A,A,64.84,1,26,8058566314689,128,15317,94225555,CLX5
2025-09-24 19:30:00.404808405+00:00,160,1,432669,A,B,64.83,1,26,8058566314690,128,20056,94225558,CLX5
2025-09-24 19:30:00.410209565+00:00,160,1,432669,T,A,64.83,6,26,8058566314695,0,18162,94225587,CLX5
2025-09-24 19:30:00.410209565+00:00,160,1,432669,F,B,64.83,3,26,8058566314621,0,18162,94225587,CLX5
2025-09-24 19:30:00.410209565+00:00,160,1,432669,F,B,64.83,1,26,8058566314644,0,18162,94225587,CLX5
2025-09-24 19:30:00.410209565+00:00,160,1,432669,F,B,64.83,1,26,8058566314645,0,18162,94225587,CLX5
2025-09-24 19:30:00.410209565+00:00,160,1,432669,F,B,64.83,1,26,8058566314690,0,18162,94225587,CLX5
2025-09-24 19:30:00.410209565+00:00,160,1,432669,C,B,64.83,3,26,8058566314621,0,14895,94225588,CLX5
2025-09-24 19:30:00.410209565+00:00,160,1,432669,C,B,64.83,1,26,8058566314644,0,14895,94225588,CLX5
2025-09-24 19:30:00.410209565+00:00,160,1,432669,C,B,64.83,1,26,8058566314645,0,14895,94225588,CLX5
2025-09-24 19:30:00.410209565+00:00,160,1,432669,C,B,64.83,1,26,8058566314690,128,14895,94225588,CLX5
2025-09-24 19:30:00.410521073+00:00,160,1,432669,C,A,64.84,1,26,8058566314689,128,18762,94225592,CLX5
2025-09-24 19:30:00.410522069+00:00,160,1,432669,A,A,64.83,2,26,8058566314696,128,17093,94225594,CLX5
2025-09-24 19:30:00.410581271+00:00,160,1,432669,C,B,64.81,1,26,8058566313373,128,14884,94225615,CLX5
2025-09-24 19:30:00.410671921+00:00,160,1,432669,A,A,64.84,1,26,8058566314709,128,17862,94225627,CLX5
2025-09-24 19:30:00.410701201+00:00,160,1,432669,A,A,64.84,1,26,8058566314710,128,18899,94225628,CLX5
2025-09-24 19:30:00.410721571+00:00,160,1,432669,C,A,64.84,1,26,8058566314709,128,15330,94225629,CLX5
2025-09-24 19:30:00.410740329+00:00,160,1,432669,A,A,64.84,1,26,8058566314711,128,14986,94225630,CLX5
2025-09-24 19:30:00.410783373+00:00,160,1,432669,M,B,63.67,4,26,8058566311409,128,18470,94225633,CLX5
2025-09-24 19:30:00.411223245+00:00,160,1,432669,C,B,64.81,1,26,8058566312861,128,14937,94225651,CLX5
2025-09-24 19:30:00.411522059+00:00,160,1,432669,A,A,64.83,1,26,8058566314722,128,14588,94225654,CLX5
2025-09-24 19:30:00.411639307+00:00,160,1,432669,A,A,64.84,1,26,8058566314723,128,15573,94225658,CLX5
2025-09-24 19:30:00.412135413+00:00,160,1,432669,A,A,64.83,2,26,8058566314726,128,18069,94225670,CLX5
2025-09-24 19:30:00.412171817+00:00,160,1,432669,A,A,64.83,1,26,8058566314728,128,16937,94225675,CLX5
2025-09-24 19:30:00.457666111+00:00,160,1,432669,A,A,64.83,1,26,8058566314750,128,19714,94225710,CLX5
2025-09-24 19:30:00.457862229+00:00,160,1,432669,C,A,64.84,1,26,8058566314723,128,18915,94225711,CLX5
2025-09-24 19:30:00.457864841+00:00,160,1,432669,C,A,64.84,1,26,8058566314711,128,15373,94225712,CLX5
2025-09-24 19:30:00.457870581+00:00,160,1,432669,C,A,64.84,1,26,8058566314710,128,15383,94225713,CLX5
2025-09-24 19:30:00.458311799+00:00,160,1,432669,C,A,64.84,1,26,8058566314639,128,18354,94225718,CLX5
2025-09-24 19:30:00.545829295+00:00,160,1,432669,M,B,64.37,4,26,8058559498241,128,18301,94225736,CLX5
2025-09-24 19:30:00.567889583+00:00,160,1,432669,M,B,64.37,4,26,8058559498258,128,18395,94225744,CLX5
2025-09-24 19:30:00.580800899+00:00,160,1,432669,C,B,64.8,1,26,8058566314647,128,18532,94225748,CLX5
2025-09-24 19:30:00.853205783+00:00,160,1,432669,A,A,64.83,3,26,8058566314782,128,19780,94225781,CLX5
2025-09-24 19:30:00.855478847+00:00,160,1,432669,C,B,64.82,1,26,8058566314624,128,18885,94225802,CLX5
2025-09-24 19:30:00.855602719+00:00,160,1,432669,A,A,64.83,1,26,8058566314797,128,15440,94225826,CLX5
2025-09-24 19:30:00.855990925+00:00,160,1,432669,C,A,64.83,1,26,8058566314797,128,18727,94225841,CLX5
2025-09-24 19:30:00.856398255+00:00,160,1,432669,A,A,64.86,1,26,8058566314803,128,13814,94225845,CLX5
2025-09-24 19:30:00.926263687+00:00,160,1,432669,A,A,64.83,2,26,8058566314816,128,18960,94225877,CLX5
2025-09-24 19:30:00.998056981+00:00,160,1,432669,A,A,64.83,1,26,8058566314818,128,19138,94225912,CLX5
2025-09-24 19:30:00.998062607+00:00,160,1,432669,C,B,64.81,2,26,8058566313321,128,19724,94225916,CLX5
2025-09-24 19:30:00.998063471+00:00,160,1,432669,C,B,64.82,2,26,8058566314622,128,14862,94225922,CLX5
2025-09-24 19:30:00.998066851+00:00,160,1,432669,C,B,64.82,1,26,8058566314579,128,19848,94225926,CLX5
2025-09-24 19:30:00.998078869+00:00,160,1,432669,A,A,64.83,1,26,8058566314820,128,15355,94225929,CLX5
2025-09-24 19:30:00.998224917+00:00,160,1,432669,C,A,64.83,1,26,8058566314820,128,17861,94225941,CLX5
2025-09-24 19:30:00.998243405+00:00,160,1,432669,C,B,64.82,3,26,8058566314643,128,15839,94225942,CLX5
2025-09-24 19:30:00.998401741+00:00,160,1,432669,A,A,64.83,1,26,8058566314826,128,15776,94225951,CLX5
2025-09-24 19:30:00.998452197+00:00,160,1,432669,C,A,64.83,1,26,8058566314826,128,15555,94225957,CLX5
2025-09-24 19:30:00.998584171+00:00,160,1,432669,C,B,64.82,1,26,8058566314389,128,15194,94225973,CLX5
2025-09-24 19:30:00.998781769+00:00,160,1,432669,A,A,64.83,1,26,8058566314832,128,18784,94225980,CLX5
2025-09-24 19:30:00.998789159+00:00,160,1,432669,A,A,64.83,1,26,8058566314833,128,15911,94225982,CLX5
2025-09-24 19:30:00.998930139+00:00,160,1,432669,C,B,64.82,1,26,8058566313063,128,15482,94225993,CLX5
2025-09-24 19:30:00.999264531+00:00,160,1,432669,C,A,64.83,1,26,8058566314833,128,15408,94226000,CLX5
2025-09-24 19:30:00.999538157+00:00,160,1,432669,A,A,64.83,1,26,8058566314835,128,15178,94226003,CLX5
2025-09-24 19:30:00.999757777+00:00,160,1,432669,C,B,64.82,1,26,8058566314167,128,15276,94226025,CLX5
2025-09-24 19:30:01.000048607+00:00,160,1,432669,A,B,64.82,1,26,8058566314839,128,15288,94226036,CLX5
2025-09-24 19:30:01.000204003+00:00,160,1,432669,A,A,64.83,1,26,8058566314841,128,14764,94226039,CLX5
2025-09-24 19:30:01.000825213+00:00,160,1,432669,A,B,64.82,1,26,8058566314852,128,15160,94226052,CLX5
2025-09-24 19:30:01.003866837+00:00,160,1,432669,A,B,64.82,1,26,8058566314853,128,19257,94226065,CLX5
2025-09-24 19:30:01.024092071+00:00,160,1,432669,C,B,64.82,1,26,8058566314852,128,18842,94226082,CLX5
2025-09-24 19:30:01.024221415+00:00,160,1,432669,M,A,64.94,1,26,8058565075241,128,14894,94226085,CLX5
2025-09-24 19:30:01.026182495+00:00,160,1,432669,M,A,64.95,1,26,8058565075241,128,18598,94226131,CLX5
2025-09-24 19:30:01.109114159+00:00,160,1,432669,A,B,64.79,2,26,8058566314879,128,18113,94226160,CLX5
2025-09-24 19:30:01.209105749+00:00,160,1,432669,A,B,64.78,2,26,8058566314889,128,19915,94226178,CLX5
2025-09-24 19:30:01.428712711+00:00,160,1,432669,C,A,64.83,1,26,8058566314750,128,19424,94226201,CLX5
2025-09-24 19:30:01.428872449+00:00,160,1,432669,A,B,64.82,1,26,8058566314905,128,19012,94226202,CLX5
2025-09-24 19:30:01.428896965+00:00,160,1,432669,C,B,64.81,1,26,8058566305478,128,15269,94226204,CLX5
2025-09-24 19:30:01.520251767+00:00,160,1,432669,A,B,64.81,2,26,8058566314917,128,14201,94226237,CLX5
2025-09-24 19:30:01.520252517+00:00,160,1,432669,A,B,64.82,2,26,8058566314921,128,15835,94226243,CLX5
2025-09-24 19:30:01.520256521+00:00,160,1,432669,C,A,64.83,1,26,8058566314835,128,15656,94226258,CLX5
2025-09-24 19:30:01.520257787+00:00,160,1,432669,A,B,64.82,1,26,8058566314930,128,15752,94226261,CLX5
2025-09-24 19:30:01.520260877+00:00,160,1,432669,C,B,64.78,2,26,8058566314889,128,14398,94226265,CLX5
